year,provider,mission_type,budget_billion,success_rate,country
2010,China,Manned,14.83,0.68,China
2017,Russia,Manned,4.16,0.73,Russia
2008,Japan,Unmanned,25.99,0.97,Japan
2003,UK,Manned,11.82,0.76,UK
2012,UK,Manned,46.66,0.69,UK
2025,China,Manned,28.49,0.66,China
2020,UAE,Unmanned,34.23,0.55,UAE
2020,Israel,Manned,14.98,0.54,Israel
2024,India,Unmanned,17.47,0.69,India
2002,USA,Unmanned,37.62,0.99,USA
2017,UK,Manned,4.43,0.67,UK
2003,Russia,Manned,46.54,0.74,Russia
2023,China,Manned,33.15,0.85,China
2009,Russia,Unmanned,6.89,0.79,Russia
2022,Germany,Unmanned,6.85,0.76,Germany
2012,India,Unmanned,44.02,0.79,India
2024,Germany,Manned,7.63,0.58,Germany
2017,UAE,Unmanned,14.01,0.93,UAE
2024,Germany,Manned,16.47,0.78,Germany
2012,Russia,Unmanned,37.98,0.99,Russia
2002,Japan,Manned,14.58,0.55,Japan
2005,Russia,Unmanned,26.26,0.66,Russia
2012,USA,Unmanned,44.88,0.59,USA
2020,USA,Manned,5.36,0.85,USA
2009,China,Manned,6.93,0.76,China
2004,Israel,Unmanned,44.39,0.76,Israel
2010,Japan,Manned,32.82,0.87,Japan
2008,UK,Unmanned,28.25,0.67,UK
2015,UAE,Unmanned,9.98,0.52,UAE
2016,UK,Manned,22.72,0.61,UK
2025,ULA,Unmanned,8.29,0.9,France
2024,Germany,Manned,10.14,0.98,Germany
2010,Israel,Manned,16.85,0.81,Israel
2011,USA,Unmanned,40.63,0.66,USA
2014,India,Unmanned,29.25,0.77,India
2015,China,Manned,2.52,1.0,China
2003,India,Manned,32.74,0.78,India
2004,Russia,Unmanned,10.58,1.0,Russia
2022,UK,Unmanned,25.15,0.73,UK
2005,India,Manned,20.93,0.86,India
2013,Germany,Unmanned,10.56,0.63,Germany
2025,Israel,Manned,43.25,0.65,Israel
2019,USA,Manned,11.38,0.52,USA
2003,USA,Manned,18.32,0.89,USA
2000,India,Unmanned,31.13,0.85,India
2002,UAE,Unmanned,13.51,0.96,UAE
2012,USA,Unmanned,3.15,0.65,USA
2001,USA,Manned,34.03,0.5,USA
2022,USA,Unmanned,47.92,0.88,USA
2015,France,Unmanned,44.43,0.91,France
2024,ULA,Unmanned,26.66,0.94,China
2014,UAE,Manned,41.21,0.63,UAE
2007,Germany,Manned,47.64,0.91,Germany
2009,Russia,Unmanned,4.45,0.91,Russia
2021,USA,Unmanned,37.09,0.54,USA
2023,China,Unmanned,8.23,0.6,China
2016,Germany,Unmanned,2.9,0.85,Germany
2016,France,Unmanned,39.6,0.6,France
2006,China,Manned,18.23,0.57,China
2008,Germany,Unmanned,9.25,0.76,Germany
2022,ULA,Unmanned,33.3,0.5,Israel
2007,USA,Manned,37.9,0.76,USA
2008,USA,Manned,17.26,0.65,USA
2014,Russia,Manned,40.73,0.76,Russia
2001,China,Unmanned,27.77,0.54,China
2012,India,Manned,31.37,0.83,India
2018,India,Manned,21.31,0.92,India
2014,Japan,Manned,40.0,0.67,Japan
2012,UK,Manned,43.63,0.96,UK
2014,USA,Manned,29.22,0.85,USA
2004,Israel,Unmanned,33.31,0.52,Israel
2024,India,Manned,22.53,0.8,India
2021,Japan,Unmanned,36.98,0.98,Japan
2010,Russia,Manned,26.89,0.61,Russia
2023,UAE,Unmanned,30.86,0.98,UAE
2020,Israel,Manned,49.92,0.97,Israel
2020,Russia,Manned,36.69,0.72,Russia
2021,USA,Manned,8.7,0.88,USA
2017,Germany,Manned,11.23,0.89,Germany
2022,Germany,Unmanned,24.27,0.85,Germany
2001,Japan,Unmanned,3.42,0.87,Japan
2013,Russia,Manned,38.94,0.98,Russia
2023,UK,Unmanned,41.31,0.62,UK
2009,USA,Unmanned,42.52,0.75,USA
2012,Russia,Unmanned,8.04,0.8,Russia
2001,France,Unmanned,7.04,0.58,France
2011,Germany,Manned,9.84,0.83,Germany
2010,ULA,Unmanned,37.91,0.56,Israel
2002,China,Manned,25.28,0.75,China
2013,Israel,Manned,28.52,0.54,Israel
2008,UK,Manned,28.42,0.95,UK
2014,China,Unmanned,46.7,0.52,China
2015,China,Manned,8.35,0.73,China
2007,Japan,Unmanned,31.94,0.69,Japan
2009,ULA,Manned,27.79,0.58,Israel
2012,Japan,Unmanned,15.59,0.68,Japan
2014,India,Unmanned,38.95,0.7,India
2023,China,Manned,32.36,0.51,China
2002,France,Unmanned,45.65,0.52,France
2010,France,Manned,17.82,0.95,France
2004,India,Manned,33.47,0.67,India
2022,Israel,Unmanned,22.6,0.88,Israel
2001,France,Unmanned,31.32,0.74,France
2018,Israel,Unmanned,27.09,0.75,Israel
2004,Japan,Manned,13.33,0.66,Japan
2024,UK,Manned,20.7,0.8,UK
2003,UK,Unmanned,30.03,1.0,UK
2006,Japan,Manned,12.87,0.96,Japan
2025,Russia,Manned,31.41,0.78,Russia
2003,UK,Unmanned,16.08,0.56,UK
2000,China,Unmanned,3.99,1.0,China
2018,UAE,Manned,46.02,0.52,UAE
2023,France,Manned,11.99,0.99,France
2008,UK,Unmanned,34.47,0.51,UK
2000,India,Unmanned,37.05,0.89,India
2016,France,Unmanned,16.53,0.69,France
2018,UAE,Manned,7.14,0.57,UAE
2004,Germany,Manned,44.87,0.65,Germany
2019,Japan,Unmanned,18.19,0.9,Japan
2015,Russia,Unmanned,42.16,0.7,Russia
2017,Russia,Unmanned,23.44,0.9,Russia
2008,Russia,Manned,25.4,0.58,Russia
2022,UK,Manned,48.07,0.54,UK
2008,France,Unmanned,16.53,0.69,France
2008,Russia,Manned,10.18,0.73,Russia
2018,Israel,Unmanned,35.44,0.68,Israel
2017,India,Manned,24.65,0.93,India
2023,Japan,Unmanned,9.66,0.96,Japan
2003,France,Manned,36.55,0.64,France
2009,UAE,Manned,15.34,0.69,UAE
2012,China,Manned,45.57,0.6,China
2020,USA,Manned,29.74,0.79,USA
2020,Germany,Unmanned,42.56,0.81,Germany
2009,France,Unmanned,31.38,0.61,France
2010,Japan,Unmanned,38.83,0.83,Japan
2002,UK,Manned,11.86,0.6,UK
2007,China,Manned,36.63,0.51,China
2008,India,Unmanned,39.93,0.87,India
2007,UK,Unmanned,34.04,0.76,UK
2004,UAE,Manned,42.85,0.56,UAE
2007,France,Manned,5.67,0.87,France
2008,France,Unmanned,29.48,0.52,France
2015,France,Manned,33.11,0.61,France
2007,ULA,Manned,39.71,0.8,USA
2017,USA,Unmanned,41.54,0.55,USA
2022,Russia,Unmanned,15.6,0.94,Russia
2007,Israel,Manned,28.88,0.63,Israel
2021,UAE,Manned,22.71,0.81,UAE
2015,Germany,Unmanned,38.46,0.63,Germany
2016,France,Manned,11.86,0.81,France
2019,USA,Manned,0.58,0.84,USA
2005,France,Manned,22.97,0.61,France
2007,India,Manned,18.57,0.76,India
2000,UAE,Manned,16.02,0.74,UAE
2017,UK,Unmanned,39.83,0.95,UK
2002,UAE,Unmanned,46.41,0.54,UAE
2020,Russia,Unmanned,7.92,0.76,Russia
2002,USA,Manned,39.45,0.87,USA
2017,UAE,Manned,6.2,0.76,UAE
2001,Israel,Unmanned,8.24,0.89,Israel
2004,China,Manned,38.34,0.99,China
2003,UAE,Unmanned,21.31,0.6,UAE
2002,USA,Unmanned,22.58,0.89,USA
2006,Russia,Manned,5.53,0.89,Russia
2006,UAE,Unmanned,2.19,0.85,UAE
2000,UAE,Unmanned,15.51,0.56,UAE
2000,UAE,Manned,30.58,0.83,UAE
2009,India,Unmanned,16.47,0.56,India
2005,Russia,Manned,7.17,0.84,Russia
2013,Germany,Unmanned,13.72,0.89,Germany
2025,Japan,Manned,9.92,0.55,Japan
2025,India,Manned,28.78,0.55,India
2017,UAE,Unmanned,45.04,0.54,UAE
2003,China,Unmanned,11.91,0.62,China
2004,India,Unmanned,44.52,0.83,India
2018,UK,Manned,36.28,0.51,UK
2012,Japan,Unmanned,9.48,0.93,Japan
2004,Israel,Manned,20.44,0.54,Israel
2016,Japan,Manned,32.58,0.97,Japan
2023,France,Unmanned,26.23,0.69,France
2021,Israel,Manned,42.24,0.57,Israel
2023,France,Unmanned,14.39,0.97,France
2004,USA,Unmanned,44.1,0.68,USA
2013,UAE,Manned,47.12,0.95,UAE
2009,China,Manned,43.25,0.52,China
2009,Germany,Manned,17.12,0.55,Germany
2013,Germany,Unmanned,43.65,0.59,Germany
2000,China,Unmanned,45.66,0.62,China
2005,Israel,Manned,48.27,0.52,Israel
2025,Israel,Unmanned,12.36,0.83,Israel
2021,UK,Manned,10.88,0.71,UK
2021,Germany,Manned,6.92,0.58,Germany
2007,Israel,Unmanned,40.83,0.81,Israel
2024,Japan,Manned,25.15,0.52,Japan
2005,Germany,Manned,11.98,1.0,Germany
2001,Russia,Unmanned,36.75,0.59,Russia
2015,Japan,Unmanned,30.25,0.87,Japan
2020,Russia,Unmanned,10.76,0.91,Russia
2022,Germany,Unmanned,25.22,0.64,Germany
2009,Israel,Manned,27.3,0.56,Israel
2024,Russia,Manned,46.96,0.54,Russia
2004,USA,Unmanned,31.82,0.83,USA
2024,India,Unmanned,6.81,0.74,India
2015,UAE,Unmanned,41.19,0.58,UAE
2003,China,Manned,49.23,0.56,China
2020,France,Manned,4.63,0.93,France
2005,Japan,Unmanned,30.4,0.61,Japan
2014,USA,Manned,41.51,0.64,USA
2022,Japan,Manned,8.01,0.96,Japan
2022,Japan,Unmanned,44.18,0.54,Japan
2009,UK,Manned,12.38,0.79,UK
2022,Israel,Unmanned,5.02,0.97,Israel
2012,Israel,Manned,27.52,1.0,Israel
2024,Germany,Unmanned,49.53,0.56,Germany
2017,USA,Manned,3.81,0.53,USA
2025,France,Manned,25.13,0.71,France
2000,India,Manned,40.44,0.79,India
2025,India,Manned,30.99,0.56,India
2021,India,Unmanned,41.84,0.62,India
2025,Germany,Unmanned,27.23,0.62,Germany
2003,Russia,Unmanned,14.7,0.71,Russia
2005,Japan,Manned,38.42,0.84,Japan
2016,France,Manned,33.18,0.63,France
2001,France,Unmanned,18.89,0.52,France
2022,USA,Manned,8.51,0.5,USA
2011,UAE,Unmanned,16.98,0.95,UAE
2006,France,Unmanned,19.32,0.84,France
2008,India,Unmanned,6.53,0.87,India
2015,Israel,Manned,38.21,0.56,Israel
2009,China,Unmanned,24.06,0.57,China
2025,India,Manned,9.87,0.91,India
2012,UAE,Manned,4.82,0.5,UAE
2010,Israel,Manned,31.77,0.7,Israel
2011,Russia,Manned,30.07,0.56,Russia
2004,USA,Manned,31.87,0.53,USA
2012,Russia,Manned,38.56,0.86,Russia
2008,France,Unmanned,7.53,1.0,France
2011,China,Manned,42.35,0.66,China
2007,China,Manned,46.16,0.74,China
2000,Israel,Manned,31.98,0.67,Israel
2007,Russia,Manned,1.62,0.65,Russia
2020,China,Manned,5.01,0.99,China
2002,ULA,Manned,22.01,0.52,Israel
2001,France,Unmanned,41.41,0.77,France
2021,UAE,Unmanned,7.5,0.59,UAE
2009,USA,Unmanned,42.55,0.63,USA
2013,UK,Manned,1.94,0.67,UK
2003,USA,Unmanned,47.91,0.96,USA
2005,USA,Unmanned,18.8,0.9,USA
2017,Japan,Unmanned,6.12,0.94,Japan
2000,UK,Unmanned,25.55,0.58,UK
2016,Japan,Unmanned,25.52,0.52,Japan
2012,Japan,Unmanned,21.75,0.79,Japan
2021,China,Manned,31.13,0.92,China
2008,India,Manned,48.05,0.94,India
2010,China,Unmanned,7.7,0.77,China
2024,UK,Unmanned,17.98,0.78,UK
2005,UAE,Manned,10.98,0.52,UAE
2015,UK,Manned,0.91,0.62,UK
2016,USA,Unmanned,18.28,0.96,USA
2021,UK,Manned,45.79,0.96,UK
2019,Russia,Unmanned,2.27,0.8,Russia
2016,Israel,Manned,49.58,0.97,Israel
2023,India,Unmanned,25.6,0.78,India
2025,China,Unmanned,10.63,0.9,China
2024,Japan,Unmanned,15.42,0.5,Japan
2002,China,Manned,49.33,0.72,China
2008,Israel,Manned,18.54,1.0,Israel
2021,Israel,Unmanned,38.17,0.98,Israel
2012,India,Unmanned,19.58,0.96,India
2007,Israel,Manned,17.86,0.64,Israel
2025,UK,Unmanned,47.87,0.71,UK
2005,Japan,Unmanned,35.76,0.84,Japan
2020,USA,Manned,38.57,0.58,USA
2011,Germany,Unmanned,34.91,0.65,Germany
2000,Israel,Manned,9.26,0.62,Israel
2023,Russia,Manned,28.65,0.6,Russia
2022,UAE,Unmanned,6.74,0.67,UAE
2021,UAE,Manned,11.66,0.82,UAE
2003,Israel,Manned,47.97,0.95,Israel
2019,UK,Manned,11.54,0.52,UK
2006,China,Unmanned,14.54,0.85,China
2014,Israel,Manned,42.01,0.76,Israel
2017,India,Unmanned,15.64,0.54,India
2021,USA,Manned,34.08,0.79,USA
2004,USA,Manned,8.92,0.51,USA
2020,China,Manned,6.64,0.88,China
2020,China,Manned,12.21,0.58,China
2019,India,Manned,30.52,0.65,India
2016,China,Unmanned,21.93,0.71,China
2024,France,Manned,26.8,0.87,France
2022,UAE,Unmanned,34.29,0.75,UAE
2012,France,Manned,31.11,0.95,France
2006,UK,Unmanned,25.88,0.89,UK
2024,USA,Unmanned,36.97,0.96,USA
2014,Israel,Manned,40.67,0.55,Israel
2002,USA,Manned,5.3,0.52,USA
2023,Israel,Manned,18.25,0.54,Israel
2020,ULA,Manned,19.23,0.81,Japan
2016,Japan,Manned,9.32,0.92,Japan
2006,UK,Manned,34.7,0.67,UK
2014,India,Unmanned,19.84,0.5,India
2020,USA,Manned,28.13,0.73,USA
2009,India,Manned,31.55,0.74,India
2016,Israel,Manned,25.0,0.56,Israel
2009,Israel,Unmanned,34.49,0.63,Israel
2018,USA,Manned,16.23,0.82,USA
2023,Germany,Manned,23.24,1.0,Germany
2012,Russia,Unmanned,2.37,0.94,Russia
2007,Japan,Unmanned,7.52,0.95,Japan
2025,UAE,Unmanned,12.43,0.62,UAE
2004,China,Unmanned,43.02,0.66,China
2018,India,Unmanned,30.72,0.9,India
2000,Germany,Unmanned,19.67,0.76,Germany
2003,India,Unmanned,47.59,0.99,India
2008,ULA,Unmanned,40.45,0.66,Russia
2017,China,Unmanned,33.25,0.62,China
2016,UAE,Manned,9.71,0.78,UAE
2015,Israel,Unmanned,4.36,0.68,Israel
2020,Russia,Manned,45.52,0.6,Russia
2007,USA,Unmanned,28.89,0.73,USA
2017,China,Manned,14.64,0.63,China
2012,Russia,Manned,22.75,0.75,Russia
2024,France,Unmanned,29.09,0.97,France
2003,USA,Manned,16.2,0.73,USA
2016,USA,Manned,22.66,0.52,USA
2001,France,Manned,27.89,0.95,France
2004,Germany,Unmanned,31.69,0.91,Germany
2021,Russia,Unmanned,9.5,0.59,Russia
2000,UK,Manned,12.71,0.89,UK
2009,China,Manned,6.36,0.87,China
2008,China,Manned,3.21,0.74,China
2022,France,Unmanned,15.36,0.98,France
2001,USA,Unmanned,8.62,0.87,USA
2014,China,Unmanned,28.98,0.91,China
2017,India,Unmanned,43.44,0.96,India
2017,ULA,Manned,6.81,0.86,India
2006,France,Unmanned,10.22,0.61,France
2000,UAE,Manned,10.51,0.68,UAE
2008,Russia,Unmanned,44.78,0.86,Russia
2007,UAE,Unmanned,25.04,0.89,UAE
2010,France,Unmanned,26.31,0.81,France
2017,Israel,Manned,36.39,0.99,Israel
2014,France,Manned,1.49,0.58,France
2011,Russia,Manned,46.13,0.85,Russia
2019,Germany,Manned,47.99,0.96,Germany
2021,China,Manned,10.64,0.8,China
2007,USA,Manned,27.35,0.63,USA
2002,France,Manned,30.36,0.63,France
2016,Japan,Manned,32.03,0.54,Japan
2002,UK,Manned,30.26,0.59,UK
2021,France,Manned,2.3,0.86,France
2025,UK,Unmanned,16.04,0.58,UK
2017,India,Manned,11.83,0.73,India
2016,Japan,Unmanned,6.69,0.55,Japan
2016,Israel,Manned,14.8,0.52,Israel
2018,Japan,Manned,47.95,0.95,Japan
2021,France,Unmanned,10.97,0.94,France
2001,UAE,Manned,21.69,0.97,UAE
2010,India,Unmanned,49.69,1.0,India
2002,UK,Manned,40.99,0.92,UK
2009,UAE,Unmanned,14.14,0.66,UAE
2000,UK,Manned,48.03,0.58,UK
2001,USA,Unmanned,19.47,0.81,USA
2023,ULA,Unmanned,34.28,0.98,UK
2002,USA,Manned,12.69,0.57,USA
2000,UK,Unmanned,2.43,0.77,UK
2021,France,Unmanned,31.46,0.62,France
2017,China,Manned,35.28,0.73,China
2016,France,Manned,42.81,0.54,France
2014,France,Manned,39.8,0.71,France
2018,France,Manned,31.94,0.9,France
2017,USA,Manned,37.19,0.8,USA
2006,Germany,Manned,37.47,0.86,Germany
2007,UK,Manned,35.56,0.54,UK
2005,Japan,Manned,24.96,0.87,Japan
2014,Israel,Manned,36.31,0.64,Israel
2022,Israel,Unmanned,36.29,0.66,Israel
2017,Israel,Manned,28.27,0.81,Israel
2013,ULA,Unmanned,7.33,0.75,UK
2001,Israel,Manned,20.98,0.7,Israel
2021,USA,Manned,20.6,0.6,USA
2013,China,Unmanned,36.94,0.8,China
2024,India,Unmanned,47.99,0.63,India
2015,Japan,Manned,10.32,0.8,Japan
2009,Israel,Unmanned,32.14,0.77,Israel
2002,India,Manned,44.75,0.8,India
2021,USA,Unmanned,8.57,0.5,USA
2013,Japan,Unmanned,22.28,0.64,Japan
2002,France,Unmanned,19.77,0.69,France
2009,France,Unmanned,17.53,0.94,France
2022,Israel,Unmanned,19.81,0.81,Israel
2006,Japan,Manned,36.35,0.61,Japan
2009,Japan,Manned,26.68,0.53,Japan
2022,India,Unmanned,40.65,0.68,India
2018,UAE,Unmanned,24.57,0.95,UAE
2019,India,Unmanned,46.17,0.51,India
2025,Japan,Manned,16.5,0.79,Japan
2011,Israel,Unmanned,15.7,0.68,Israel
2016,UAE,Manned,44.95,0.7,UAE
2020,UK,Unmanned,11.6,0.7,UK
2009,Israel,Unmanned,2.48,0.67,Israel
2002,Russia,Manned,22.0,0.91,Russia
2001,France,Manned,22.1,0.73,France
2023,UK,Unmanned,47.66,0.92,UK
2013,USA,Unmanned,39.74,0.58,USA
2009,China,Unmanned,1.54,0.56,China
2000,UK,Unmanned,27.0,0.52,UK
2020,Israel,Manned,3.55,0.88,Israel
2012,USA,Unmanned,0.96,0.91,USA
2012,Israel,Manned,27.05,0.81,Israel
2003,Japan,Unmanned,30.29,0.52,Japan
2023,USA,Unmanned,39.46,0.5,USA
2025,Russia,Unmanned,46.27,0.9,Russia
2007,China,Manned,16.85,0.57,China
2020,India,Manned,41.01,0.71,India
2009,Germany,Unmanned,35.75,0.74,Germany
2001,Japan,Manned,30.77,1.0,Japan
2003,Israel,Unmanned,34.41,0.59,Israel
2013,USA,Unmanned,15.35,0.5,USA
2011,UAE,Unmanned,35.37,0.94,UAE
2017,France,Unmanned,24.99,0.58,France
2014,Japan,Unmanned,3.07,0.74,Japan
2001,Russia,Manned,21.98,0.53,Russia
2024,USA,Manned,31.48,0.6,USA
2005,Russia,Unmanned,22.82,0.81,Russia
2005,India,Manned,8.33,0.54,India
2005,China,Unmanned,43.36,0.73,China
2000,France,Unmanned,1.45,0.68,France
2020,USA,Unmanned,10.92,0.82,USA
2000,China,Unmanned,30.28,0.96,China
2019,Israel,Manned,4.36,0.77,Israel
2006,France,Manned,46.54,0.58,France
2003,India,Manned,46.74,0.98,India
2017,UAE,Unmanned,45.69,0.63,UAE
2012,India,Manned,39.13,0.93,India
2000,Israel,Manned,34.03,0.61,Israel
2018,China,Manned,46.25,0.82,China
2019,China,Unmanned,48.18,0.86,China
2025,Israel,Unmanned,12.09,0.57,Israel
2004,France,Manned,9.67,0.56,France
2013,France,Manned,46.73,0.74,France
2021,Germany,Unmanned,3.62,0.62,Germany
2009,UAE,Unmanned,3.15,0.74,UAE
2004,China,Manned,31.94,0.75,China
2025,Russia,Unmanned,34.71,0.59,Russia
2014,Israel,Manned,25.49,0.64,Israel
2015,ULA,Unmanned,30.87,0.78,Russia
2003,Germany,Unmanned,34.81,0.69,Germany
2018,France,Manned,45.44,0.76,France
2023,USA,Unmanned,6.35,0.94,USA
2006,Germany,Unmanned,14.38,0.95,Germany
2004,USA,Manned,27.27,0.73,USA
2013,Japan,Manned,49.47,0.85,Japan
2012,China,Unmanned,2.57,0.76,China
2005,Russia,Manned,29.23,0.76,Russia
2010,UAE,Unmanned,0.53,0.55,UAE
2004,UAE,Unmanned,16.17,0.6,UAE
2012,France,Unmanned,47.02,0.69,France
2025,India,Manned,45.2,0.53,India
2013,India,Unmanned,27.93,0.97,India
2019,Russia,Unmanned,10.56,0.6,Russia
2018,India,Manned,16.51,0.63,India
2002,Germany,Manned,35.19,0.77,Germany
2013,China,Manned,28.48,0.73,China
2002,UAE,Manned,14.66,0.84,UAE
2009,UAE,Manned,41.66,0.76,UAE
2024,UAE,Unmanned,23.86,0.8,UAE
2013,Germany,Manned,40.11,0.67,Germany
2023,UK,Manned,31.56,0.53,UK
2023,India,Manned,6.74,0.53,India
2022,India,Manned,45.01,0.81,India
2014,ULA,Unmanned,11.75,0.86,India
2018,France,Unmanned,47.3,0.7,France
2010,China,Unmanned,43.07,0.86,China
2007,Russia,Manned,25.67,0.71,Russia
2019,UAE,Manned,43.69,0.85,UAE
2015,Russia,Manned,22.23,0.74,Russia
2022,Japan,Unmanned,44.57,0.67,Japan
2012,Japan,Manned,18.61,0.68,Japan
2024,Japan,Unmanned,7.93,0.81,Japan
2020,ULA,Manned,2.96,0.52,Japan
2007,Israel,Manned,34.99,1.0,Israel
2023,UAE,Manned,13.19,0.68,UAE
2011,Russia,Manned,17.64,0.51,Russia
2016,UAE,Unmanned,35.98,0.56,UAE
2015,Japan,Unmanned,22.42,0.87,Japan
2002,Russia,Manned,8.6,0.74,Russia
2015,Germany,Manned,47.21,0.55,Germany
2001,Israel,Manned,35.24,0.73,Israel
2003,UAE,Manned,3.66,0.97,UAE
2016,China,Unmanned,10.46,0.72,China
2018,France,Manned,27.47,0.7,France
2002,Russia,Manned,8.21,0.93,Russia
2023,Israel,Manned,31.42,0.84,Israel
2000,UK,Manned,5.88,0.99,UK
2007,USA,Manned,39.95,0.9,USA
2020,Japan,Unmanned,48.01,0.68,Japan
2018,UAE,Manned,5.74,0.65,UAE
2019,India,Manned,43.18,0.92,India
2002,Japan,Unmanned,11.88,0.87,Japan
2022,ULA,Unmanned,2.44,0.9,China
2024,Russia,Manned,44.93,0.63,Russia
2024,UK,Manned,27.61,0.7,UK
2021,Germany,Manned,16.74,0.94,Germany
2007,UK,Manned,9.54,0.69,UK
2006,ULA,Unmanned,36.1,0.96,USA
2002,Germany,Manned,32.95,0.82,Germany
2018,UAE,Unmanned,12.48,1.0,UAE
2018,USA,Manned,36.26,0.69,USA
2001,ULA,Unmanned,21.54,0.6,Israel
2005,Germany,Manned,44.12,0.78,Germany
2003,France,Manned,30.83,0.8,France
2018,ULA,Manned,8.13,0.53,Germany
2013,China,Manned,9.35,0.81,China
2024,France,Manned,25.13,0.5,France
2018,Russia,Unmanned,49.54,0.66,Russia
2020,India,Unmanned,44.58,0.61,India
2001,Russia,Unmanned,23.22,0.85,Russia
2010,France,Unmanned,13.48,0.94,France
2015,Germany,Unmanned,48.58,0.78,Germany
2013,USA,Manned,22.28,0.65,USA
2010,UK,Unmanned,47.53,0.94,UK
2010,UAE,Manned,1.16,0.93,UAE
2005,Germany,Unmanned,25.38,0.87,Germany
2022,China,Unmanned,23.88,0.8,China
2000,Japan,Manned,8.99,0.57,Japan
2019,France,Manned,1.69,0.93,France
2018,Germany,Manned,43.74,0.93,Germany
2012,Japan,Unmanned,20.08,0.97,Japan
2011,Germany,Manned,37.13,0.99,Germany
2020,Russia,Unmanned,39.8,0.71,Russia
2025,Germany,Manned,2.65,0.54,Germany
2011,India,Unmanned,48.05,0.76,India
2005,China,Unmanned,39.5,0.5,China
2003,UK,Unmanned,24.15,0.98,UK
2018,UAE,Unmanned,22.24,0.84,UAE
2006,China,Unmanned,46.98,0.51,China
2024,UK,Manned,9.91,0.97,UK
2017,Israel,Unmanned,30.65,0.95,Israel
2005,China,Unmanned,19.01,0.99,China
2023,India,Unmanned,24.23,0.5,India
2009,Russia,Unmanned,38.05,0.97,Russia
2016,UK,Manned,23.52,0.53,UK
2010,Germany,Manned,31.35,0.69,Germany
2024,ULA,Unmanned,29.38,0.82,UK
2010,China,Manned,6.51,0.61,China
2003,Israel,Manned,44.02,0.7,Israel
2010,UK,Unmanned,39.58,0.94,UK
2020,China,Unmanned,42.08,0.81,China
2025,France,Unmanned,22.92,0.93,France
2014,USA,Manned,26.7,0.53,USA
2012,Israel,Unmanned,13.88,0.74,Israel
2001,UK,Unmanned,38.16,0.77,UK
2003,Russia,Unmanned,6.06,0.76,Russia
2024,USA,Unmanned,42.33,0.56,USA
2008,China,Manned,14.31,0.84,China
2020,Russia,Manned,39.28,0.96,Russia
2013,UK,Unmanned,41.69,0.54,UK
2005,Germany,Unmanned,28.66,0.96,Germany
2005,Japan,Manned,22.97,0.97,Japan
2014,UAE,Manned,3.22,0.98,UAE
2019,USA,Unmanned,26.7,0.95,USA
2025,Germany,Manned,44.61,0.92,Germany
2008,Israel,Manned,5.8,0.52,Israel
2016,Israel,Unmanned,43.31,0.91,Israel
2016,USA,Unmanned,41.74,0.89,USA
