winner,allocation,payment,scores,auction_id,context_year,true_winner_quality,outcome_success,oracle_winner,gap_top2,n_close,regret,winner_is_incumbent
Germany,{'p_125_0': 'Germany'},6.441689965745835e+18,"{'China': 2.566978494421595, 'France': 2.6482031907778705, 'Germany': 2.7313117175894046, 'India': 2.649395724175154, 'Israel': 2.71501117801545, 'Japan': 2.7170271206408527, 'Russia': 2.646816836213236, 'UAE': 2.719456377162636, 'UK': 2.6430921781147307, 'ULA': 2.6707853531974943, 'USA': 2.6348486408770473, 'SpaceX': 2.676258061288935}",125,2019,0.6696646208242205,True,SpaceX,0.011855340426768723,11,0.2777533625170918,True
UAE,"{'p_131_0': 'UAE', 'p_131_2': 'UAE', 'p_131_1': 'UAE'}",1.0536163399550218e+19,"{'China': 2.5735808053119062, 'France': 2.6548055016681813, 'Germany': 2.548198333095405, 'India': 2.6559980350654646, 'Israel': 2.721613488905761, 'Japan': 2.7236294315311635, 'Russia': 2.6534191471035466, 'UAE': 2.726058688052947, 'UK': 2.649694489005042, 'ULA': 2.6773876640878056, 'USA': 2.641450951767358, 'SpaceX': 2.6821633476726645}",131,2019,0.8450644872980295,True,SpaceX,0.002429256521783607,10,0.10235349604328281,True
Japan,{'p_132_0': 'Japan'},5959878927337.267,"{'China': 2.5799982903230196, 'France': 2.6612229866792947, 'Germany': 2.553938306187179, 'India': 2.6624155200765776, 'Israel': 2.728030973916874, 'Japan': 2.730046916542277, 'Russia': 2.65983663211466, 'UAE': 2.5429297757908937, 'UK': 2.656111974016155, 'ULA': 2.6838051490989185, 'USA': 2.647868436778471, 'SpaceX': 2.6879033207644385}",132,2012,0.5903638008013787,False,SpaceX,0.0020159426254027224,9,0.3570541825399336,True
Israel,{'p_135_0': 'Israel'},8.459574723118292e+18,"{'China': 2.586240583520001, 'France': 2.667465279876276, 'Germany': 2.5595215829567532, 'India': 2.668657813273559, 'Israel': 2.7342732671138554, 'Japan': 2.4748287429330977, 'Russia': 2.6660789253116413, 'UAE': 2.548513052560468, 'UK': 2.6623542672131366, 'ULA': 2.6900474422959, 'USA': 2.6541107299754527, 'SpaceX': 2.6934865975340125}",135,2024,0.6781725169436913,True,SpaceX,0.040786669579842894,8,0.26924546639762104,True
SpaceX,{'p_137_0': 'SpaceX'},1.2846821876283382e+19,"{'China': 2.5923165971555786, 'France': 2.6735412935118537, 'Germany': 2.5649561347653, 'India': 2.6747338269091365, 'Israel': 2.5498199194466276, 'Japan': 2.4802632947416443, 'Russia': 2.672154938947219, 'UAE': 2.5539476043690144, 'UK': 2.668430280848714, 'ULA': 2.6961234559314775, 'USA': 2.66018674361103, 'SpaceX': 2.6989211493425596}",137,2025,0.9474179833413123,True,SpaceX,0.0027976934110820473,9,0.0,True
ULA,{'p_138_0': 'ULA'},1.1052540514536729e+19,"{'China': 2.5982345913858524, 'France': 2.6794592877421275, 'Germany': 2.5702493497210375, 'India': 2.680651821139411, 'Israel': 2.555113134402365, 'Japan': 2.485556509697382, 'Russia': 2.678072933177493, 'UAE': 2.559240819324752, 'UK': 2.674348275078988, 'ULA': 2.702041450161752, 'USA': 2.6661047378413043, 'SpaceX': 2.554996950102338}",138,2018,0.6433396218697132,True,SpaceX,0.021389629022340984,8,0.30407836147159917,True
India,{'p_139_2': 'India'},5.0691651701396e+18,"{'China': 2.60400223581393, 'France': 2.685226932170205, 'Germany': 2.5754080877255294, 'India': 2.6864194655674885, 'Israel': 2.560271872406857, 'Japan': 2.490715247701874, 'Russia': 2.6838405776055705, 'UAE': 2.564399557329244, 'UK': 2.680115919507066, 'ULA': 2.519205035075898, 'USA': 2.671872382269382, 'SpaceX': 2.55970621205787}",139,2014,0.7213064663142137,True,SpaceX,0.001192533397283313,10,0.22611151702709864,True
France,{'p_141_1': 'France'},3.7856596603625006e+18,"{'China': 2.6096266639803503, 'France': 2.6908513603366258, 'Germany': 2.5804387292114015, 'India': 2.5043738781838822, 'Israel': 2.565302513892729, 'Japan': 2.4957458891877455, 'Russia': 2.6894650057719907, 'UAE': 2.569430198815116, 'UK': 2.6857403476734856, 'ULA': 2.52423567656177, 'USA': 2.677496810435802, 'SpaceX': 2.564298538425426}",141,2020,0.575538597456634,True,SpaceX,0.001386354564635095,9,0.3718793858846783,True
Russia,"{'p_143_2': 'Russia', 'p_143_0': 'Russia', 'p_143_1': 'Russia'}",1.3861858910110697e+19,"{'China': 2.6151145217449243, 'France': 2.5081750149485234, 'Germany': 2.5853472184163766, 'India': 2.509282367388858, 'Israel': 2.5702110030977043, 'Japan': 2.500654378392721, 'Russia': 2.6949528635365647, 'UAE': 2.574338688020091, 'UK': 2.69122820543806, 'ULA': 2.5291441657667453, 'USA': 2.682984668200376, 'SpaceX': 2.5687793555268184}",143,2014,0.6691759060280565,True,SpaceX,0.0037246580985046407,8,0.2782420773132558,True
UK,{'p_146_0': 'UK'},7089285000092.904,"{'China': 2.6204720103606434, 'France': 2.5129668984418947, 'Germany': 2.590139101909748, 'India': 2.514074250882229, 'Israel': 2.5750028865910757, 'Japan': 2.5054462618860924, 'Russia': 2.5116795692033054, 'UAE': 2.5791305715134625, 'UK': 2.696585694053779, 'ULA': 2.533936049260117, 'USA': 2.6883421568160957, 'SpaceX': 2.5731537266639126}",146,2013,0.8150116957582139,False,SpaceX,0.008243537237683451,7,0.13240628758309847,True
USA,{'p_148_0': 'USA'},5.65141117358806e+18,"{'China': 2.625704924920816, 'France': 2.5176473595126927, 'Germany': 2.594819562980546, 'India': 2.5187547119530267, 'Israel': 2.5796833476618737, 'Japan': 2.5101267229568904, 'Russia': 2.516360030274103, 'UAE': 2.5838110325842605, 'UK': 2.4414728477540626, 'ULA': 2.5386165103309146, 'USA': 2.6935750713762676, 'SpaceX': 2.57742638351058}",148,2022,0.7534756519314919,True,SpaceX,0.06787014645545142,6,0.19394233140982042,True
China,{'p_149_0': 'China'},5.012811159570208e+18,"{'China': 2.6308186887610416, 'France': 2.5222212489397426, 'Germany': 2.599393452407596, 'India': 2.523328601380077, 'Israel': 2.5842572370889236, 'Japan': 2.5147006123839404, 'Russia': 2.5209339197011533, 'UAE': 2.5883849220113104, 'UK': 2.446046737181113, 'ULA': 2.543190399757965, 'USA': 2.5098205954604067, 'SpaceX': 2.5816017542017966}",149,2015,0.6966244963664098,True,SpaceX,0.03142523635344574,11,0.25079348697490256,True
Germany,{'p_152_1': 'Germany'},1.0062271162695377e+19,"{'China': 2.4512701802584753, 'France': 2.526693112589302, 'Germany': 2.6038653160571554, 'India': 2.5278004650296366, 'Israel': 2.588729100738483, 'Japan': 2.5191724760335, 'Russia': 2.525405783350713, 'UAE': 2.59285678566087, 'UK': 2.4505186008306725, 'ULA': 2.5476622634075246, 'USA': 2.5142924591099662, 'SpaceX': 2.585683988526715}",152,2025,0.6696646208242205,True,SpaceX,0.011008530396285465,10,0.2777533625170918,True
UAE,"{'p_156_0': 'UAE', 'p_156_1': 'UAE'}",5.389700440968713e+18,"{'China': 2.455644283892536, 'France': 2.5310672162233634, 'Germany': 2.464642966970007, 'India': 2.532174568663698, 'Israel': 2.5931032043725444, 'Japan': 2.523546579667561, 'Russia': 2.529779886984774, 'UAE': 2.597230889294931, 'UK': 2.4548927044647337, 'ULA': 2.5520363670415853, 'USA': 2.5186665627440274, 'SpaceX': 2.589676980575449}",156,2024,0.8450644872980295,True,SpaceX,0.004127684922386798,9,0.10235349604328281,True
Israel,{'p_160_0': 'Israel'},7.592128846237718e+18,"{'China': 2.4599246355181337, 'France': 2.535347567848961, 'Germany': 2.4685503755356635, 'India': 2.5364549202892954, 'Israel': 2.597383555998142, 'Japan': 2.5278269312931587, 'Russia': 2.5340602386103717, 'UAE': 2.4582757471657968, 'UK': 2.4591730560903313, 'ULA': 2.556316718667183, 'USA': 2.522946914369625, 'SpaceX': 2.5935843891411055}",160,2014,0.6781725169436913,False,SpaceX,0.003799166857036518,9,0.26924546639762104,True
SpaceX,"{'p_161_1': 'SpaceX', 'p_161_0': 'SpaceX'}",7.954173717497262e+18,"{'China': 2.464115005563363, 'France': 2.53953793789419, 'Germany': 2.47237564253244, 'India': 2.5406452903345245, 'Israel': 2.3915818415683456, 'Japan': 2.5320173013383878, 'Russia': 2.5382506086556007, 'UAE': 2.4621010141625734, 'UK': 2.4633634261355604, 'ULA': 2.5605070887124124, 'USA': 2.527137284414854, 'SpaceX': 2.597409656137882}",161,2017,0.9474179833413123,True,SpaceX,0.03690256742546971,8,0.0,True
